State,Country,Region,Global
Andaman and Nicobar Islands,IND,IND,GLO
Andhra Pradesh,IND,IND,GLO
Arunachal Pradesh,IND,IND,GLO
Assam,IND,IND,GLO
Bihar,IND,IND,GLO
Chhattisgarh,IND,IND,GLO
Dadra and Nagar Haveli and Daman and Diu,IND,IND,GLO
Delhi,IND,IND,GLO
Goa,IND,IND,GLO
Gujarat,IND,IND,GLO
Haryana,IND,IND,GLO
Himachal Pradesh,IND,IND,GLO
Jammu & Kashmir,IND,IND,GLO
Jharkhand,IND,IND,GLO
Karnataka,IND,IND,GLO
Kerala,IND,IND,GLO
Madhya Pradesh,IND,IND,GLO
Maharashtra,IND,IND,GLO
Manipur,IND,IND,GLO
Meghalaya,IND,IND,GLO
Mizoram,IND,IND,GLO
Nagaland,IND,IND,GLO
Odisha,IND,IND,GLO
Orissa,IND,IND,GLO
Puducherry,IND,IND,GLO
Punjab,IND,IND,GLO
Rajasthan,IND,IND,GLO
Sikkim,IND,IND,GLO
Tamil Nadu,IND,IND,GLO
Tripura,IND,IND,GLO
Uttar Pradesh,IND,IND,GLO
Uttarakhand,IND,IND,GLO
West Bengal,IND,IND,GLO
Chandigarh,IND,IND,GLO
Telangana,IND,IND,GLO
